"Site","Year","Season","Video.transect","Zone"
"Punta Lobos","2021","Fall","PLO2_19Oct21_4de9","Mesophotic"
"Punta Lobos","2021","Fall","PLO2_19Oct21_5de9","Mesophotic"
"Punta Lobos","2021","Fall","PLO2_19Oct21_7de9","Mesophotic"
"Punta Lobos","2021","Fall","PLO2_19Oct21_8de9","Mesophotic"
"Punta Lobos","2021","Fall","PLO2_19Oct21_9de9","Mesophotic"
"El Bajo","2022","Spring","BAS_21Abr22_10de10","Shallow"
"El Bajo","2022","Spring","BAS_21Abr22_1de10","Shallow"
"El Bajo","2022","Spring","BAS_21Abr22_2de10","Shallow"
"El Bajo","2022","Spring","BAS_21Abr22_3de10","Shallow"
"El Bajo","2022","Spring","BAS_21Abr22_4de10","Shallow"
"El Bajo","2022","Spring","BAS_21Abr22_5de10","Shallow"
"El Bajo","2022","Spring","BAS_21Abr22_6de10","Shallow"
"El Bajo","2022","Spring","BAS_21Abr22_7de10","Shallow"
"El Bajo","2022","Spring","BAS_21Abr22_8de10","Shallow"
"El Bajo","2022","Spring","BAS_21Abr22_9de10","Shallow"
"El Bajo","2022","Fall","BAS_26Oct22_10de10","Shallow"
"El Bajo","2022","Fall","BAS_26Oct22_1de10","Shallow"
"El Bajo","2022","Fall","BAS_26Oct22_2de10","Shallow"
"El Bajo","2022","Fall","BAS_26Oct22_3de10","Shallow"
"El Bajo","2022","Fall","BAS_26Oct22_4de10","Shallow"
"El Bajo","2022","Fall","BAS_26Oct22_5de10","Shallow"
"El Bajo","2022","Fall","BAS_26Oct22_6de10","Shallow"
"El Bajo","2022","Fall","BAS_26Oct22_7de10","Shallow"
"El Bajo","2022","Fall","BAS_26Oct22_8de10","Shallow"
"El Bajo","2022","Fall","BAS_26Oct22_9de10","Mesophotic"
"El Bajo","2022","Spring","BAS2_21Abr22_10de10","Mesophotic"
"El Bajo","2022","Spring","BAS2_21Abr22_1de10","Mesophotic"
"El Bajo","2022","Spring","BAS2_21Abr22_2de10","Mesophotic"
"El Bajo","2022","Spring","BAS2_21Abr22_3de10","Mesophotic"
"El Bajo","2022","Spring","BAS2_21Abr22_4de10","Mesophotic"
"El Bajo","2022","Spring","BAS2_21Abr22_5de10","Mesophotic"
"El Bajo","2022","Spring","BAS2_21Abr22_6de10","Mesophotic"
"El Bajo","2022","Spring","BAS2_21Abr22_7de10","Mesophotic"
"El Bajo","2022","Spring","BAS2_21Abr22_8de10","Mesophotic"
"El Bajo","2022","Spring","BAS2_21Abr22_9de10","Mesophotic"
"Los Islotes","2022","Spring","ISE_19Abr22_10de11","Shallow"
"Los Islotes","2022","Spring","ISE_19Abr22_11de11","Shallow"
"Los Islotes","2022","Spring","ISE_19Abr22_1de11","Shallow"
"Los Islotes","2022","Spring","ISE_19Abr22_2de11","Shallow"
"Los Islotes","2022","Spring","ISE_19Abr22_3de11","Shallow"
"Los Islotes","2022","Spring","ISE_19Abr22_4de11","Shallow"
"Los Islotes","2022","Spring","ISE_19Abr22_5de11","Shallow"
"Los Islotes","2022","Spring","ISE_19Abr22_6de11","Shallow"
"Los Islotes","2022","Spring","ISE_19Abr22_7de11","Shallow"
"Los Islotes","2022","Spring","ISE_19Abr22_8de11","Shallow"
"Los Islotes","2022","Spring","ISE_19Abr22_9de11","Shallow"
"Los Islotes","2022","Fall","ISE_24Oct22_10de10","Shallow"
"Los Islotes","2022","Fall","ISE_24Oct22_1de10","Shallow"
"Los Islotes","2022","Fall","ISE_24Oct22_2de10","Shallow"
"Los Islotes","2022","Fall","ISE_24Oct22_3de10","Shallow"
"Los Islotes","2022","Fall","ISE_24Oct22_4de10","Shallow"
"Los Islotes","2022","Fall","ISE_24Oct22_5de10","Shallow"
"Los Islotes","2022","Fall","ISE_24Oct22_6de10","Shallow"
"Los Islotes","2022","Fall","ISE_24Oct22_7de10","Shallow"
"Los Islotes","2022","Fall","ISE_24Oct22_8de10","Shallow"
"Los Islotes","2022","Fall","ISE_24Oct22_9de10","Shallow"
"Los Islotes","2022","Spring","ISE2_19Abr22_1de5","Mesophotic"
"Los Islotes","2022","Spring","ISE2_19Abr22_2de5","Mesophotic"
"Los Islotes","2022","Spring","ISE2_19Abr22_3de5","Mesophotic"
"Los Islotes","2022","Spring","ISE2_19Abr22_4de5","Mesophotic"
"Los Islotes","2022","Spring","ISE2_19Abr22_5de5","Mesophotic"
"Punta Lobos","2022","Spring","PLO_20Abr22_10de10","Shallow"
"Punta Lobos","2022","Spring","PLO_20Abr22_1de10","Shallow"
"Punta Lobos","2022","Spring","PLO_20Abr22_2de10","Shallow"
"Punta Lobos","2022","Spring","PLO_20Abr22_3de10","Shallow"
"Punta Lobos","2022","Spring","PLO_20Abr22_4de10","Shallow"
"Punta Lobos","2022","Spring","PLO_20Abr22_5de10","Shallow"
"Punta Lobos","2022","Spring","PLO_20Abr22_6de10","Shallow"
"Punta Lobos","2022","Spring","PLO_20Abr22_7de10","Shallow"
"Punta Lobos","2022","Spring","PLO_20Abr22_8de10","Shallow"
"Punta Lobos","2022","Spring","PLO_20Abr22_9de10","Shallow"
"Punta Lobos","2022","Fall","PLO_25Oct22_10de10","Shallow"
"Punta Lobos","2022","Fall","PLO_25Oct22_1de10","Shallow"
"Punta Lobos","2022","Fall","PLO_25Oct22_2de10","Shallow"
"Punta Lobos","2022","Fall","PLO_25Oct22_3de10","Shallow"
"Punta Lobos","2022","Fall","PLO_25Oct22_4de10","Shallow"
"Punta Lobos","2022","Fall","PLO_25Oct22_5de10","Shallow"
"Punta Lobos","2022","Fall","PLO_25Oct22_6de10","Shallow"
"Punta Lobos","2022","Fall","PLO_25Oct22_7de10","Shallow"
"Punta Lobos","2022","Fall","PLO_25Oct22_8de10","Shallow"
"Punta Lobos","2022","Fall","PLO_25Oct22_9de10","Shallow"
"Punta Lobos","2022","Spring","PLO2_20Abr22_10de10","Mesophotic"
"Punta Lobos","2022","Spring","PLO2_20Abr22_1de10","Mesophotic"
"Punta Lobos","2022","Spring","PLO2_20Abr22_2de10","Mesophotic"
"Punta Lobos","2022","Spring","PLO2_20Abr22_3de10","Mesophotic"
"Punta Lobos","2022","Spring","PLO2_20Abr22_4de10","Mesophotic"
"Punta Lobos","2022","Spring","PLO2_20Abr22_5de10","Mesophotic"
"Punta Lobos","2022","Spring","PLO2_20Abr22_6de10","Mesophotic"
"Punta Lobos","2022","Spring","PLO2_20Abr22_7de10","Mesophotic"
"Punta Lobos","2022","Spring","PLO2_20Abr22_8de10","Mesophotic"
"Punta Lobos","2022","Spring","PLO2_20Abr22_9de10","Mesophotic"
"Punta Lobos","2022","Fall","PLO2_25Oct22_1de9","Mesophotic"
"Punta Lobos","2022","Fall","PLO2_25Oct22_2de9","Mesophotic"
"Punta Lobos","2022","Fall","PLO2_25Oct22_3de9","Mesophotic"
"Punta Lobos","2022","Fall","PLO2_25Oct22_4de9","Mesophotic"
"Punta Lobos","2022","Fall","PLO2_25Oct22_5de9","Mesophotic"
"Punta Lobos","2022","Fall","PLO2_25Oct22_6de9","Mesophotic"
"Punta Lobos","2022","Fall","PLO2_25Oct22_7de9","Mesophotic"
"Punta Lobos","2022","Fall","PLO2_25Oct22_8de9","Mesophotic"
"Punta Lobos","2022","Fall","PLO2_25Oct22_9de9","Mesophotic"
