Site,Year,Season,Initial_depth,Final_depth,Video.transect,Zone,Abudefduf_troschelii,Acanthurus_xanthopterus,Alphestes_immaculatus,Anisotremus_interruptus,Apogon_sp,Arothron_meleagris,Azurina_atrilobata,Balistes_polylepis,Bodianus_diplotaenia,Bodianus_pulcher,Canthigaster_punctatissima,Caranx_caballus,Caulolatilus_princeps,Cephalopholis_colonus,Cephalopholis_panamensis,Chaetodon_humeralis,Chanos_chanos,Chilomycterus_reticulatus,Chromis_alta,Chromis_limbaughi,Cirrhitichthys_oxycephalus,Diodon_holocanthus,Diodon_hystrix,Epinephelus_labriformis,Epinephelus_quinquefasciatus,Fistularia_commersonii,Gymnothorax_castaneus,Haemulon_flaviguttatum,Haemulon_maculicauda,Haemulon_sexfasciatum,Halichoeres_dispilus,Halichoeres_melanotis,Halichoeres_nicholsi,Halichoeres_sp,Heteroconger_sp,Heterodontus_francisci,Holacanthus_passer,Hoplopagrus_guentherii,Hypanus_dipterurus,Johnrandallia_nigrirostris,Kyphosus_elegans,Kyphosus_sp,Kyphosus_vaigiensis,Liopropoma_fasciatum,Lutjanus_argentiventris,Lutjanus_guttatus,Lutjanus_jordani,Lutjanus_novemfasciatus,Lutjanus_sp,Lutjanus_viridis,Microspathodon_dorsalis,Mulloidichthys_dentatus,Mycteroperca_jordani,Mycteroperca_prionura,Mycteroperca_rosacea,Mycteroperca_sp,Myripristis_leiognathus,Ophioblennius_steindachneri,Ostracion_meleagris,Oxycirrhites_typus,Paralabrax_auroguttatus,Plagiotremus_azaleus,Pomacanthus_zonipectus,Prionurus_laticlavius,Pristigenys_serrula,Prognathodes_falcifer,Pronotogrammus_multifasciatus,Pseudobalistes_naufragium,Pseudupeneus_grandisquamis,Rypticus_bicolor,Rypticus_sp,Sardinops_sagax,Scarus_ghobban,Scarus_perrico,Scarus_rubroviolaceus,Scarus_sp,Scorpaena_guttata,Scorpaena_sp,Seriola_lalandi,Seriola_rivoliana,Serranus_psittacinus,Sphyraena_argentea,Squatina_californica,Stegastes_flavilatus,Stegastes_rectifraenum,Stegastes_sp,Sufflamen_verres,Synodus_lacertinus,Thalassoma_lucasanum,Urobatis_concentricus,Urobatis_halleri,Urobatis_maculatus,Urobatis_sp,Xyrichtys_sp,Zanclus_cornutus,Zapteryx_exasperata
El Bajo,2021,Spring,<30,<30,BAS_11Jun21_3de7,Shallow,0,0,0,2,0,0,0,1,0,0,0,0,0,191,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0,2,0,0,2,0,0,0,0,0,0
El Bajo,2021,Spring,<30,<30,BAS_11Jun21_4de7,Shallow,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
El Bajo,2021,Spring,<30,<30,BAS_11Jun21_5de7,Shallow,0,0,0,0,0,0,10,11,1,0,0,0,0,219,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
El Bajo,2021,Spring,<30,<30,BAS_11Jun21_6de7,Shallow,0,0,0,0,0,0,0,0,0,0,0,0,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
El Bajo,2021,Spring,<30,<30,BAS_11Jun21_7de7,Shallow,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Bajo,2021,Spring,22.45,24.95,BAS_25Jun21_1de5,Mesophotic,0,0,0,0,0,3,6,270,2,0,0,540,0,183,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,2,0,0,0,0,228,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,22,0,0,0,0,0,0,0
El Bajo,2021,Spring,25.98,31.94,BAS_25Jun21_2de5,Mesophotic,0,0,0,0,0,0,0,164,0,0,1,0,0,1552,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Bajo,2021,Spring,36.5,39.13,BAS_25Jun21_3de5,Mesophotic,0,0,0,0,0,0,0,12,0,1,0,0,0,1203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Bajo,2021,Spring,40.77,48.86,BAS_25Jun21_4de5,Mesophotic,0,0,0,0,0,0,0,1,0,11,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Bajo,2021,Spring,45.88,54.81,BAS_25Jun21_5de5,Mesophotic,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Los Islotes,2021,Spring,>30,>30,ISE_10Jun21_1de9,Mesophotic,0,0,0,0,0,0,0,0,2,0,0,0,0,135,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Islotes,2021,Spring,>30,>30,ISE_10Jun21_2de9,Mesophotic,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Islotes,2021,Spring,>30,>30,ISE_10Jun21_3de9,Mesophotic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Los Islotes,2021,Spring,>30,>30,ISE_10Jun21_4de9,Mesophotic,0,0,0,0,0,0,0,0,1,0,0,0,0,47,0,0,0,0,1,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Los Islotes,2021,Spring,>30,>30,ISE_10Jun21_5de9,Mesophotic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Islotes,2021,Spring,>30,>30,ISE_10Jun21_6de9,Mesophotic,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Islotes,2021,Spring,>30,>30,ISE_10Jun21_7de9,Mesophotic,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Islotes,2021,Spring,>30,>30,ISE_10Jun21_8de9,Mesophotic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Los Islotes,2021,Spring,>30,>30,ISE_10Jun21_9de9,Mesophotic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Islotes,2021,Spring,13.55,19.94,ISE_25Jun21_10de14,Shallow,0,0,0,0,0,0,34,12,3,0,0,0,0,1017,0,0,0,0,0,6,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
Los Islotes,2021,Spring,20.64,15.79,ISE_25Jun21_11de14,Shallow,0,0,0,0,0,0,0,4,0,0,0,0,0,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Islotes,2021,Spring,11.05,16.95,ISE_25Jun21_12de14,Shallow,0,0,0,0,0,0,37,1,1,0,0,0,0,614,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Los Islotes,2021,Spring,15.76,23.42,ISE_25Jun21_13de14,Shallow,0,0,0,0,0,0,51,0,1,0,0,0,0,29,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Los Islotes,2021,Spring,23.07,26.79,ISE_25Jun21_14de14,Mesophotic,0,0,0,0,0,0,0,2,0,0,0,0,0,321,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Los Islotes,2021,Spring,55.49,57.08,ISE_25Jun21_1de14,Mesophotic,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2
