Video.transect,Block,Gravel,Rock,Sand,Black_coral,Hard_corals,Soft_corals
BAC_11Jun21_10de14,0.933333333333333,0,0,0,0.633333333333333,0,65
BAC_11Jun21_11de14,0.2,0,0,0,0.466666666666667,0,50
BAC_11Jun21_12de14,0.0666666666666667,0,0,0,0.633333333333333,0.1,34
BAC_11Jun21_13de14,0.266666666666667,0,0,0,0.633333333333333,0.0666666666666667,43
BAC_11Jun21_14de14,0.0666666666666667,0.0333333333333333,0,0,0.733333333333333,0.0666666666666667,58
BAC_11Jun21_1de14,0.166666666666667,0,0,0,0,0.833333333333333,0
BAC_11Jun21_2de14,0.933333333333333,0,0,0,0,0.166666666666667,51
BAC_11Jun21_3de14,0.333333333333333,0,0,0,0,0.1,22
BAC_11Jun21_4de14,1.03333333333333,0,0,0,0,0.233333333333333,53
BAC_11Jun21_5de14,0.933333333333333,0,0,0,0.233333333333333,0.133333333333333,40
BAC_11Jun21_6de14,0.366666666666667,0,0,0,0.633333333333333,0,139
BAC_11Jun21_7de14,0.11,0,0,0,0.8,0,111
BAC_11Jun21_8de14,0.1,0,0,0,0.5,0.0333333333333333,57
BAC_25Jun21_1de4,0.633333333333333,0,0,0,0.8,0,66
BAC_25Jun21_2de4,0.266666666666667,0,0,0,0,0.666666666666667,60
BAC_25Jun21_3de4,0.233333333333333,0,0,0,0,0.766666666666667,2
BAC_25Jun21_4de4,0.0666666666666667,0,0,0,0,0.3,41
BAS_25Jun21_1de5,0.133333333333333,0,0,0,0,0,0
BAS_25Jun21_2de5,0.0666666666666667,0,0,0,0,0.2,72
BAS_11Jun21_1de7,0.2,0,0,0,0,0.0666666666666667,15
BAS_11Jun21_2de7,0.0666666666666667,0,0,0,0,0.733333333333333,99
BAS_11Jun21_3de7,0.566666666666667,0,0,0,0,0.1,92
BAS_11Jun21_4de7,0.2,0,0,0,0.233333333333333,0.133333333333333,93
BAS_11Jun21_5de7,0.0333333333333333,0,0,0,0.0666666666666667,0,17
BAC_11Jun21_9de14,0,0.0333333333333333,0,0,0.0333333333333333,0.0333333333333333,24
BAS_25Jun21_3de5,0,0.0333333333333333,0,0,0,0,24
BAS_11Jun21_6de7,0,0.1,0,0,0,0.1,52
